Players_id,Top_scorer_id
542,1
541,2
542,3
542,4
542,5
551,6
542,7
552,8
553,9
542,10
58,11
548,12
542,13
554,14
542,15
542,16
542,17
542,18
542,19
542,20
542,21
542,22
541,23
552,24
555,25
548,26
556,27
552,28
557,29
542,30
542,31
558,32
548,33
542,34
542,35
542,36
542,37
542,38
542,39
559,40
541,41
17,42
560,43
542,44
542,45
542,46
552,47
542,48
542,49
542,50
548,51
548,52
549,53
550,54
541,55
248,56
194,57
542,58
542,59
542,60
545,61
546,62
547,63
544,64
543,65
541,66
541,67
479,68
194,69
497,70
